user_id,degree_centrality,betweenness_centrality,name
100013433947608,0.024504848648017108,2.0894894435374742e-08,Li Heat
100047252544379,0.024316896865269052,4.326577197764812e-08,PaidnFull Gbaby
100023627930821,0.02414926419416943,1.812298522501969e-08,Cam Ynic
100064698558879,0.023646366180870574,2.6782075661274806e-08,An Tinya
100025524373550,0.023641286402958463,7.58713830474104e-09,Li Jo
100012300797133,0.023448254842298295,1.22199268009568e-08,Keion McClure
100046719821258,0.023366978395704542,3.664174437849862e-08,Glenn King
100010260273488,0.023316180616583443,9.548668957654464e-09,Li Ced
100054063093694,0.023285701949110785,2.5907854845376817e-09,Li Mìgo
100065498894854,0.023239983947901798,1.3705593903023458e-08,Skit Skit
100046576283183,0.023041872609329522,7.95831824616091e-09,Azarìa Mìchelle
100044562824082,0.022950436606911546,2.939532603526714e-08,Jasmine JrMuvaa
100026559287827,0.022940277051087327,1.0069175595329224e-08,RayWorld Kayla
100010267952303,0.022838681492845132,2.287208482042987e-08,Ray Lewis
100053832501880,0.022782803935811925,2.4875742280772633e-08,Vicky Dinero
100028870154051,0.022777724157899817,6.63594772076315e-10,Łii Shantel
100036258120742,0.02275740504625138,4.98581376992318e-08,Na Koria
100022276956384,0.02272692637877872,1.0875651412975692e-08,Courtlyn Robinson
100010883835910,0.022676128599657622,9.054509199098255e-09,Thè Maiñ Øpp
100009023714017,0.022660889265921295,1.1858243747664421e-08,Ebe Guwhopp
100032468544182,0.022615171264712308,8.83363035116459e-09,Gbf Chino
100005340409077,0.02257961281932754,7.895922307799408e-09,Li Mike
100000912746518,0.02256945326350332,1.0416349479999977e-08,Kevin Davis
100012798585921,0.022508495928558005,1.2369427268928554e-08,Rezzy Rezzy
100036940959210,0.022493256594821674,6.135904905991672e-09,Antonerria Arnold
100021965768026,0.022472937483173236,4.978078787624886e-08,Ynic Lilb
100038171477817,0.022467857705261128,1.8753583188193045e-08,Brianna Bloodworth
100003539123423,0.022452618371524798,2.024885015252647e-08,Dearis Whittaker
100036571702215,0.022427219481964248,5.957367744232383e-08,Tamerra Travis
100013124919001,0.02241705992614003,1.656769931733209e-08,Momo Davis
100028132261193,0.02238658125866737,1.1708633226099219e-08,Long Live Ralph CG
100037721836858,0.022351022813282603,5.779135074723631e-09,LE LE
100022228604056,0.022345943035370495,2.0047837548322867e-08,NewMoney Neshaa
100028170618103,0.022290065478337288,1.4195384737209316e-08,Frank Lucas
100046297063151,0.02226974636668885,3.967043451881242e-09,Li Nari
100045491078572,0.022178310364270874,3.995847680173572e-09,Longway Jc
100028029812114,0.02214275191888611,3.234981566174577e-09,LI Yay
100004392947603,0.022137672140973997,1.691348361839751e-08,Erianné Vanee
100026740441449,0.02213259236306189,7.827008482452788e-09,Shun Kennedy
100022718022660,0.02213259236306189,4.1341919489758544e-09,Alexis Riley
100010625764277,0.02213259236306189,8.80375476398637e-09,Sabrina Andrews
100029073455112,0.02211735302932556,3.390804786612168e-09,Fso Li Âñt
100034134422468,0.022102113695589228,8.925046595179399e-09,Jay Denisee
100022936265691,0.0219801990256986,8.93434865062025e-09,Sy Boo
100011787241101,0.0219294012465775,1.4657972057926797e-08,Demaria Ayanna
100013136535450,0.02192432146866539,2.557521171721746e-08,Tsmg Trigga Mann
100010067401183,0.021893842801192734,1.5701601876515897e-08,Scoop Gizzle
100013614968682,0.021878603467456403,1.59224365684601e-08,Kodak Purp
100022548098574,0.021716050574268893,9.52719829014043e-09,Ya Zminee
100024828894357,0.021685571906796236,9.26462440224096e-09,Christal Lashay
100010222540319,0.021675412350972017,1.1567244550918782e-08,Jjuan Cole
100012110172416,0.02160937523811459,6.81459237777457e-09,Dangelo Dough Edwards
100001996566899,0.02158397634855404,4.903999360465576e-08,Alagasco Dough
100012862908482,0.021563657236905603,9.410404238173008e-09,Amariya Perkins
100025734640643,0.021533178569432945,3.1301735550348148e-09,Niquee Sade
100003816014602,0.021523019013608726,3.2502587915729506e-09,Taylormontijo Montijo
100001213977252,0.021512859457784507,6.342777872874746e-09,Quindell Rhodes
100011964769416,0.021497620124048177,2.7942671887037617e-08,Shy'Larrius Jajuanica
100006958033155,0.021487460568223957,4.76470706676663e-09,LaTrael Maddox
100015348345139,0.021462061678663408,4.554016444761316e-08,Łuł Tímm
100022614502817,0.021426503233278642,1.1618906279037514e-08,CpMg Huncho
100016056079490,0.021390944787893874,7.583852330370055e-09,Roniyah Agee
100036883310433,0.021360466120421216,2.9382578452971063e-09,Shaniyah Anita
100013259013982,0.02125887056217902,1.8228492286023433e-08,Ro Reezy
100008497028466,0.021187753671409487,7.042107276449006e-09,Jakia Winston
100013161316823,0.021172514337673157,1.3976455499452441e-08,Charles Smith
100009986406504,0.02115219522602472,1.5521279768402948e-08,DEria Hall
100017988461344,0.02114711544811261,8.763892087165431e-09,Jessica Richardson
100005159084179,0.02111663678063995,9.00072260982661e-09,Tray Glizzy
100055951219031,0.021025200778221977,1.2608849577112237e-08,Ben Fields
100000586508797,0.02098964233283721,3.9477284615040325e-08,Arrealia BraidzbyWooh Willis
100001304933965,0.02097948277701299,7.2228444498778995e-09,Reeso Reeso
100015155733764,0.02097440299910088,6.043246870864098e-09,Cand Ace
100014924465543,0.020882966996682906,5.173742340521163e-09,JO RD YN
100007642113735,0.020862647885034467,4.36156315691634e-09,Mariyaa Shawnel
100014589828658,0.02084232877338603,5.452555415142623e-09,TopKilla Glo
100017258472527,0.02084232877338603,7.848718898768897e-09,Jaçorria Nycole
100009039312980,0.020837248995473918,7.2753529323953605e-09,Jakiaya Denise
100001688368126,0.02080169055008915,1.007283492234822e-08,Biggs Osama
100011050334129,0.02079661077217704,8.514434060023246e-09,Sanae Lashà
100013901827175,0.020761052326792272,2.6721106669021227e-08,Ikinda Hill
100052524254816,0.020715334325583284,3.147070642255247e-08,Tallapoosa Hatchet
